what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.core.variables,3.2.200.v20090521,"org.eclipse.core.variables",1271144858452
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1271145126988
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PropertiesFileEditor",1271145127271
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PropertiesFileEditor",1271145127315
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1271145134961
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1271145135196
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1271145135266
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1271145143707
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1271145143953
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271145165516
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271145169477
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271145199756
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271145201297
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271145211603
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271145309371
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1271145321449
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271145321886
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271145330063
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1271145335283
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271145335818
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271145338657
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1271145342394
